Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [5][ 20/112]	L_Src_Sup 0.0000e+00 (1.6162e-01)	L_Trg_Inj 3.5477e-01 (4.2599e-01)	Loss Disc 6.8960e-01 (6.8475e-01)	Loss Pred 7.4259e-01 (7.6103e-01)	Loss TOTAL 1.1229e+00 (1.1624e+00)
Epoch: [5][ 30/112]	L_Src_Sup 1.1106e-01 (1.6157e-01)	L_Trg_Inj 4.5106e-01 (4.3890e-01)	Loss Disc 6.8448e-01 (6.8469e-01)	Loss Pred 7.5571e-01 (7.5826e-01)	Loss TOTAL 1.1542e+00 (1.1608e+00)
Epoch: [5][ 40/112]	L_Src_Sup 9.0716e-02 (1.5503e-01)	L_Trg_Inj 4.3131e-01 (4.2358e-01)	Loss Disc 6.8693e-01 (6.8485e-01)	Loss Pred 7.6352e-01 (7.5439e-01)	Loss TOTAL 1.1592e+00 (1.1556e+00)
Epoch: [5][ 50/112]	L_Src_Sup 0.0000e+00 (1.8579e-01)	L_Trg_Inj 4.9718e-01 (4.3739e-01)	Loss Disc 6.8496e-01 (6.8491e-01)	Loss Pred 7.2315e-01 (7.4974e-01)	Loss TOTAL 1.1153e+00 (1.1629e+00)
Epoch: [5][ 60/112]	L_Src_Sup 0.0000e+00 (1.8782e-01)	L_Trg_Inj 5.0976e-01 (4.4995e-01)	Loss Disc 6.8409e-01 (6.8479e-01)	Loss Pred 7.2772e-01 (7.4589e-01)	Loss TOTAL 1.1207e+00 (1.1590e+00)
Epoch: [5][ 70/112]	L_Src_Sup 3.0781e-01 (1.9609e-01)	L_Trg_Inj 4.7729e-01 (4.5635e-01)	Loss Disc 6.8532e-01 (6.8480e-01)	Loss Pred 7.0280e-01 (7.4272e-01)	Loss TOTAL 1.1240e+00 (1.1615e+00)
Epoch: [5][ 80/112]	L_Src_Sup 0.0000e+00 (2.1431e-01)	L_Trg_Inj 5.7649e-01 (4.5963e-01)	Loss Disc 6.8232e-01 (6.8487e-01)	Loss Pred 6.9044e-01 (7.3954e-01)	Loss TOTAL 1.0892e+00 (1.1628e+00)
Epoch: [5][ 90/112]	L_Src_Sup 8.3320e-02 (2.2101e-01)	L_Trg_Inj 4.7011e-01 (4.6569e-01)	Loss Disc 6.8612e-01 (6.8480e-01)	Loss Pred 7.3874e-01 (7.3633e-01)	Loss TOTAL 1.1371e+00 (1.1605e+00)
Epoch: [5][100/112]	L_Src_Sup 0.0000e+00 (2.1946e-01)	L_Trg_Inj 4.9964e-01 (4.7161e-01)	Loss Disc 6.8458e-01 (6.8471e-01)	Loss Pred 6.7463e-01 (7.3128e-01)	Loss TOTAL 1.0669e+00 (1.1582e+00)
Epoch: [5][110/112]	L_Src_Sup 1.6348e+00 (2.3469e-01)	L_Trg_Inj 1.5139e+00 (4.8074e-01)	Loss Disc 6.8828e-01 (6.8483e-01)	Loss Pred 6.9394e-01 (7.2763e-01)	Loss TOTAL 1.4738e+00 (1.1581e+00)
Epoch: [5][112/112]	L_Src_Sup 1.9855e+00 (2.6586e-01)	L_Trg_Inj 1.9893e+00 (5.0762e-01)	Loss Disc 6.9007e-01 (6.8492e-01)	Loss Pred 7.0236e-01 (7.2729e-01)	Loss TOTAL 1.4449e+00 (1.1633e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 1.5293e+00 (1.8909e+00)	L_Trg_Inj 1.6354e+00 (1.9190e+00)	Loss Disc 6.8673e-01 (6.8299e-01)	Loss Pred 6.9073e-01 (6.9211e-01)	Loss TOTAL 1.3506e+00 (1.4149e+00)
Epoch: [6][ 20/112]	L_Src_Sup 2.3364e-01 (1.0628e+00)	L_Trg_Inj 5.0232e-01 (1.2019e+00)	Loss Disc 6.8334e-01 (6.8382e-01)	Loss Pred 6.6558e-01 (6.8218e-01)	Loss TOTAL 1.0808e+00 (1.2566e+00)
Epoch: [6][ 30/112]	L_Src_Sup 0.0000e+00 (8.0287e-01)	L_Trg_Inj 5.8812e-01 (9.7590e-01)	Loss Disc 6.8033e-01 (6.8334e-01)	Loss Pred 6.5731e-01 (6.7752e-01)	Loss TOTAL 1.0563e+00 (1.2011e+00)
Epoch: [6][ 40/112]	L_Src_Sup 3.3654e-01 (6.7333e-01)	L_Trg_Inj 5.4498e-01 (8.6127e-01)	Loss Disc 6.8433e-01 (6.8355e-01)	Loss Pred 6.6694e-01 (6.7308e-01)	Loss TOTAL 1.0973e+00 (1.1715e+00)
Epoch: [6][ 50/112]	L_Src_Sup 1.4302e-01 (5.8172e-01)	L_Trg_Inj 4.9883e-01 (7.8453e-01)	Loss Disc 6.8614e-01 (6.8427e-01)	Loss Pred 6.3762e-01 (6.6731e-01)	Loss TOTAL 1.0449e+00 (1.1509e+00)
Epoch: [6][ 60/112]	L_Src_Sup 9.6006e-02 (5.1280e-01)	L_Trg_Inj 5.1274e-01 (7.3860e-01)	Loss Disc 6.8427e-01 (6.8438e-01)	Loss Pred 6.7163e-01 (6.6491e-01)	Loss TOTAL 1.0746e+00 (1.1363e+00)
Epoch: [6][ 70/112]	L_Src_Sup 0.0000e+00 (4.7041e-01)	L_Trg_Inj 4.3492e-01 (7.0068e-01)	Loss Disc 6.8560e-01 (6.8448e-01)	Loss Pred 6.4816e-01 (6.6157e-01)	Loss TOTAL 1.0345e+00 (1.1244e+00)
Epoch: [6][ 80/112]	L_Src_Sup 1.3330e-01 (4.4010e-01)	L_Trg_Inj 6.0321e-01 (6.7743e-01)	Loss Disc 6.7936e-01 (6.8428e-01)	Loss Pred 6.2421e-01 (6.5897e-01)	Loss TOTAL 1.0375e+00 (1.1159e+00)
Epoch: [6][ 90/112]	L_Src_Sup 2.6666e-01 (4.1015e-01)	L_Trg_Inj 5.5170e-01 (6.5589e-01)	Loss Disc 6.8120e-01 (6.8424e-01)	Loss Pred 6.1804e-01 (6.5514e-01)	Loss TOTAL 1.0405e+00 (1.1066e+00)
Epoch: [6][100/112]	L_Src_Sup 0.0000e+00 (3.9066e-01)	L_Trg_Inj 4.1127e-01 (6.3859e-01)	Loss Disc 6.8791e-01 (6.8428e-01)	Loss Pred 5.9940e-01 (6.5229e-01)	Loss TOTAL 9.8448e-01 (1.1003e+00)
Epoch: [6][110/112]	L_Src_Sup 0.0000e+00 (3.7550e-01)	L_Trg_Inj 5.4969e-01 (6.2468e-01)	Loss Disc 6.8202e-01 (6.8432e-01)	Loss Pred 5.6705e-01 (6.4727e-01)	Loss TOTAL 9.6303e-01 (1.0948e+00)
Epoch: [6][112/112]	L_Src_Sup 2.5001e-01 (3.7341e-01)	L_Trg_Inj 5.5804e-01 (6.2364e-01)	Loss Disc 6.8101e-01 (6.8425e-01)	Loss Pred 6.1073e-01 (6.4657e-01)	Loss TOTAL 1.0320e+00 (1.0936e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 6.2517e-01 (2.4704e-01)	L_Trg_Inj 5.6092e-01 (5.1128e-01)	Loss Disc 6.8116e-01 (6.8372e-01)	Loss Pred 6.0488e-01 (6.0811e-01)	Loss TOTAL 1.1283e+00 (1.0473e+00)
Epoch: [7][ 20/112]	L_Src_Sup 0.0000e+00 (2.4967e-01)	L_Trg_Inj 4.7898e-01 (5.0720e-01)	Loss Disc 6.8504e-01 (6.8398e-01)	Loss Pred 6.3993e-01 (6.0531e-01)	Loss TOTAL 1.0303e+00 (1.0546e+00)
Epoch: [7][ 30/112]	L_Src_Sup 1.5415e-01 (2.2915e-01)	L_Trg_Inj 5.5394e-01 (5.0541e-01)	Loss Disc 6.8205e-01 (6.8409e-01)	Loss Pred 5.7313e-01 (6.0027e-01)	Loss TOTAL 9.8496e-01 (1.0368e+00)
Epoch: [7][ 40/112]	L_Src_Sup 2.3994e-01 (2.2658e-01)	L_Trg_Inj 3.8973e-01 (4.9855e-01)	Loss Disc 6.8815e-01 (6.8431e-01)	Loss Pred 6.5087e-01 (5.9736e-01)	Loss TOTAL 1.0579e+00 (1.0278e+00)
Epoch: [7][ 50/112]	L_Src_Sup 1.5388e-01 (2.1947e-01)	L_Trg_Inj 4.6327e-01 (4.8974e-01)	Loss Disc 6.7882e-01 (6.8433e-01)	Loss Pred 5.6171e-01 (5.9255e-01)	Loss TOTAL 9.6283e-01 (1.0183e+00)
Epoch: [7][ 60/112]	L_Src_Sup 2.5006e-01 (2.3322e-01)	L_Trg_Inj 4.7724e-01 (4.8942e-01)	Loss Disc 6.8517e-01 (6.8448e-01)	Loss Pred 5.7934e-01 (5.9022e-01)	Loss TOTAL 9.9465e-01 (1.0164e+00)
Epoch: [7][ 70/112]	L_Src_Sup 3.3335e-01 (2.3729e-01)	L_Trg_Inj 4.8296e-01 (4.9180e-01)	Loss Disc 6.8556e-01 (6.8444e-01)	Loss Pred 5.4208e-01 (5.8747e-01)	Loss TOTAL 9.6649e-01 (1.0155e+00)
