Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [5][ 90/112]	L_Src_Sup 0.0000e+00 (2.0268e-01)	L_Trg_Inj 3.5867e-01 (4.3284e-01)	Loss Disc 6.9066e-01 (6.8927e-01)	Loss Pred 7.0866e-01 (7.3801e-01)	Loss TOTAL 1.0899e+00 (1.1506e+00)
Epoch: [5][100/112]	L_Src_Sup 2.5017e-01 (2.0357e-01)	L_Trg_Inj 4.0941e-01 (4.3257e-01)	Loss Disc 6.9132e-01 (6.8934e-01)	Loss Pred 6.9698e-01 (7.3483e-01)	Loss TOTAL 1.1086e+00 (1.1490e+00)
Epoch: [5][110/112]	L_Src_Sup 0.0000e+00 (2.0060e-01)	L_Trg_Inj 4.7500e-01 (4.3115e-01)	Loss Disc 6.9051e-01 (6.8947e-01)	Loss Pred 7.0452e-01 (7.3068e-01)	Loss TOTAL 1.0973e+00 (1.1439e+00)
Epoch: [5][112/112]	L_Src_Sup 3.6379e-01 (2.0225e-01)	L_Trg_Inj 4.4497e-01 (4.3131e-01)	Loss Disc 6.9019e-01 (6.8949e-01)	Loss Pred 6.6391e-01 (7.2980e-01)	Loss TOTAL 1.0899e+00 (1.1431e+00)
Epoch 5 complete. Saving model state...
Epoch: [6][ 10/112]	L_Src_Sup 2.6713e-01 (2.1025e-01)	L_Trg_Inj 4.6528e-01 (4.0782e-01)	Loss Disc 6.8824e-01 (6.9132e-01)	Loss Pred 6.7655e-01 (6.8799e-01)	Loss TOTAL 1.0939e+00 (1.0994e+00)
Epoch: [6][ 20/112]	L_Src_Sup 0.0000e+00 (1.4818e-01)	L_Trg_Inj 3.5262e-01 (4.1935e-01)	Loss Disc 6.9072e-01 (6.9090e-01)	Loss Pred 6.6435e-01 (6.8236e-01)	Loss TOTAL 1.0450e+00 (1.0865e+00)
Epoch: [6][ 30/112]	L_Src_Sup 3.1600e-01 (1.7950e-01)	L_Trg_Inj 3.6470e-01 (4.3265e-01)	Loss Disc 6.9146e-01 (6.9085e-01)	Loss Pred 6.8642e-01 (6.8031e-01)	Loss TOTAL 1.1002e+00 (1.0889e+00)
Epoch: [6][ 40/112]	L_Src_Sup 1.5489e-01 (1.7633e-01)	L_Trg_Inj 3.7734e-01 (4.3076e-01)	Loss Disc 6.8983e-01 (6.9032e-01)	Loss Pred 6.4545e-01 (6.7795e-01)	Loss TOTAL 1.0436e+00 (1.0853e+00)
Epoch: [6][ 50/112]	L_Src_Sup 2.2191e-01 (1.8084e-01)	L_Trg_Inj 4.8101e-01 (4.3489e-01)	Loss Disc 6.8811e-01 (6.9012e-01)	Loss Pred 6.1626e-01 (6.7364e-01)	Loss TOTAL 1.0306e+00 (1.0830e+00)
Epoch: [6][ 60/112]	L_Src_Sup 2.0005e-01 (2.0341e-01)	L_Trg_Inj 4.4798e-01 (4.3693e-01)	Loss Disc 6.8890e-01 (6.9004e-01)	Loss Pred 6.7135e-01 (6.6969e-01)	Loss TOTAL 1.0806e+00 (1.0881e+00)
Epoch: [6][ 70/112]	L_Src_Sup 1.5384e-01 (2.1049e-01)	L_Trg_Inj 5.1897e-01 (4.3630e-01)	Loss Disc 6.8870e-01 (6.8999e-01)	Loss Pred 6.2522e-01 (6.6720e-01)	Loss TOTAL 1.0369e+00 (1.0876e+00)
Epoch: [6][ 80/112]	L_Src_Sup 2.0004e-01 (2.1296e-01)	L_Trg_Inj 5.4441e-01 (4.3901e-01)	Loss Disc 6.8717e-01 (6.8991e-01)	Loss Pred 6.0037e-01 (6.6111e-01)	Loss TOTAL 1.0184e+00 (1.0817e+00)
Epoch: [6][ 90/112]	L_Src_Sup 0.0000e+00 (2.0980e-01)	L_Trg_Inj 5.4363e-01 (4.3668e-01)	Loss Disc 6.8847e-01 (6.8997e-01)	Loss Pred 6.1189e-01 (6.5789e-01)	Loss TOTAL 1.0105e+00 (1.0768e+00)
Epoch: [6][100/112]	L_Src_Sup 0.0000e+00 (1.9863e-01)	L_Trg_Inj 3.2350e-01 (4.3594e-01)	Loss Disc 6.9173e-01 (6.9004e-01)	Loss Pred 6.1187e-01 (6.5539e-01)	Loss TOTAL 9.9008e-01 (1.0722e+00)
Epoch: [6][110/112]	L_Src_Sup 2.8606e-01 (2.0051e-01)	L_Trg_Inj 4.1983e-01 (4.3671e-01)	Loss Disc 6.9030e-01 (6.9003e-01)	Loss Pred 6.4973e-01 (6.5152e-01)	Loss TOTAL 1.0655e+00 (1.0700e+00)
Epoch: [6][112/112]	L_Src_Sup 2.3575e-01 (2.0129e-01)	L_Trg_Inj 4.8153e-01 (4.3629e-01)	Loss Disc 6.8894e-01 (6.9005e-01)	Loss Pred 6.2333e-01 (6.5091e-01)	Loss TOTAL 1.0395e+00 (1.0692e+00)
Epoch 6 complete. Saving model state...
Epoch: [7][ 10/112]	L_Src_Sup 2.5004e-01 (2.2930e-01)	L_Trg_Inj 3.9149e-01 (3.9388e-01)	Loss Disc 6.9252e-01 (6.9139e-01)	Loss Pred 6.1137e-01 (6.1269e-01)	Loss TOTAL 1.0218e+00 (1.0258e+00)
Epoch: [7][ 20/112]	L_Src_Sup 1.8305e-01 (2.4916e-01)	L_Trg_Inj 4.1463e-01 (3.7349e-01)	Loss Disc 6.9096e-01 (6.9104e-01)	Loss Pred 5.7295e-01 (6.1050e-01)	Loss TOTAL 9.7819e-01 (1.0377e+00)
Epoch: [7][ 30/112]	L_Src_Sup 2.2221e-01 (2.4198e-01)	L_Trg_Inj 4.5241e-01 (4.1396e-01)	Loss Disc 6.8871e-01 (6.9016e-01)	Loss Pred 6.1360e-01 (6.0936e-01)	Loss TOTAL 1.0254e+00 (1.0373e+00)
Epoch: [7][ 40/112]	L_Src_Sup 2.2223e-01 (2.4116e-01)	L_Trg_Inj 4.8626e-01 (4.1858e-01)	Loss Disc 6.8798e-01 (6.8992e-01)	Loss Pred 6.0839e-01 (6.0784e-01)	Loss TOTAL 1.0232e+00 (1.0361e+00)
Epoch: [7][ 50/112]	L_Src_Sup 5.0010e-01 (2.5599e-01)	L_Trg_Inj 4.5070e-01 (4.2024e-01)	Loss Disc 6.8890e-01 (6.8987e-01)	Loss Pred 5.8963e-01 (6.0388e-01)	Loss TOTAL 1.0786e+00 (1.0427e+00)
Epoch: [7][ 60/112]	L_Src_Sup 2.1350e-01 (2.5134e-01)	L_Trg_Inj 4.0626e-01 (4.1828e-01)	Loss Disc 6.8925e-01 (6.8976e-01)	Loss Pred 5.9115e-01 (6.0091e-01)	Loss TOTAL 9.9775e-01 (1.0346e+00)
Epoch: [7][ 70/112]	L_Src_Sup 2.5006e-01 (2.3890e-01)	L_Trg_Inj 4.0449e-01 (4.1363e-01)	Loss Disc 6.8970e-01 (6.8974e-01)	Loss Pred 5.2103e-01 (5.9562e-01)	Loss TOTAL 9.3133e-01 (1.0259e+00)
