Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.575468652545966, std[0]=0.9216816724284855)
Loading Target Train...
Epoch: [2][ 40/313]	L_Src_Sup 1.5535e-01 (2.2727e-01)	L_Trg_Inj 4.0618e-01 (3.5939e-01)	Loss Disc 6.7984e-01 (6.7819e-01)	Loss Pred 7.7170e-01 (7.7877e-01)	Loss TOTAL 1.1678e+00 (1.1830e+00)
Epoch: [2][ 50/313]	L_Src_Sup 1.9870e-01 (2.3135e-01)	L_Trg_Inj 4.3839e-01 (3.6010e-01)	Loss Disc 6.8717e-01 (6.7808e-01)	Loss Pred 7.4813e-01 (7.7703e-01)	Loss TOTAL 1.1554e+00 (1.1811e+00)
Epoch: [2][ 60/313]	L_Src_Sup 2.2366e-01 (2.2589e-01)	L_Trg_Inj 4.7250e-01 (3.7130e-01)	Loss Disc 6.7609e-01 (6.7796e-01)	Loss Pred 7.6306e-01 (7.7462e-01)	Loss TOTAL 1.1707e+00 (1.1782e+00)
Epoch: [2][ 70/313]	L_Src_Sup 1.5969e-01 (2.2460e-01)	L_Trg_Inj 3.0842e-01 (3.7296e-01)	Loss Disc 6.7993e-01 (6.7803e-01)	Loss Pred 7.6706e-01 (7.7227e-01)	Loss TOTAL 1.1538e+00 (1.1752e+00)
Epoch: [2][ 80/313]	L_Src_Sup 1.5390e-01 (2.2464e-01)	L_Trg_Inj 4.1813e-01 (3.7108e-01)	Loss Disc 6.8069e-01 (6.7838e-01)	Loss Pred 7.5807e-01 (7.6954e-01)	Loss TOTAL 1.1556e+00 (1.1728e+00)
Epoch: [2][ 90/313]	L_Src_Sup 4.2130e-01 (2.2625e-01)	L_Trg_Inj 4.3104e-01 (3.7164e-01)	Loss Disc 6.8208e-01 (6.7875e-01)	Loss Pred 7.5774e-01 (7.6730e-01)	Loss TOTAL 1.1840e+00 (1.1709e+00)
Epoch: [2][100/313]	L_Src_Sup 2.0919e-01 (2.2838e-01)	L_Trg_Inj 4.2225e-01 (3.7321e-01)	Loss Disc 6.7868e-01 (6.7901e-01)	Loss Pred 7.5220e-01 (7.6537e-01)	Loss TOTAL 1.1547e+00 (1.1691e+00)
Epoch: [2][110/313]	L_Src_Sup 3.3483e-01 (2.2764e-01)	L_Trg_Inj 5.0373e-01 (3.7515e-01)	Loss Disc 6.8423e-01 (6.7894e-01)	Loss Pred 7.4468e-01 (7.6374e-01)	Loss TOTAL 1.1707e+00 (1.1673e+00)
Epoch: [2][120/313]	L_Src_Sup 2.6343e-01 (2.2691e-01)	L_Trg_Inj 4.2827e-01 (3.7808e-01)	Loss Disc 6.7919e-01 (6.7931e-01)	Loss Pred 7.4802e-01 (7.6166e-01)	Loss TOTAL 1.1568e+00 (1.1653e+00)
Epoch: [2][130/313]	L_Src_Sup 2.1906e-01 (2.2360e-01)	L_Trg_Inj 3.3466e-01 (3.7347e-01)	Loss Disc 6.8278e-01 (6.7938e-01)	Loss Pred 7.4619e-01 (7.6010e-01)	Loss TOTAL 1.1430e+00 (1.1629e+00)
Epoch: [2][140/313]	L_Src_Sup 2.6009e-01 (2.2185e-01)	L_Trg_Inj 1.8464e-01 (3.6947e-01)	Loss Disc 6.9818e-01 (6.7996e-01)	Loss Pred 7.3162e-01 (7.5818e-01)	Loss TOTAL 1.2006e+00 (1.1610e+00)
Epoch: [2][150/313]	L_Src_Sup 9.3872e-02 (2.2087e-01)	L_Trg_Inj 2.1249e-01 (3.6396e-01)	Loss Disc 6.9405e-01 (6.8094e-01)	Loss Pred 7.4272e-01 (7.5630e-01)	Loss TOTAL 1.1204e+00 (1.1593e+00)
Epoch: [2][160/313]	L_Src_Sup 2.3072e-01 (2.2001e-01)	L_Trg_Inj 1.7010e-01 (3.5711e-01)	Loss Disc 7.0046e-01 (6.8187e-01)	Loss Pred 7.0790e-01 (7.5463e-01)	Loss TOTAL 1.1588e+00 (1.1582e+00)
Epoch: [2][170/313]	L_Src_Sup 2.2200e-01 (2.1918e-01)	L_Trg_Inj 3.2769e-01 (3.5475e-01)	Loss Disc 6.9402e-01 (6.8253e-01)	Loss Pred 7.2919e-01 (7.5295e-01)	Loss TOTAL 1.1312e+00 (1.1562e+00)
Epoch: [2][180/313]	L_Src_Sup 2.5979e-01 (2.1764e-01)	L_Trg_Inj 3.0502e-01 (3.5038e-01)	Loss Disc 7.0025e-01 (6.8328e-01)	Loss Pred 7.0769e-01 (7.5110e-01)	Loss TOTAL 1.1143e+00 (1.1544e+00)
Epoch: [2][190/313]	L_Src_Sup 1.6702e-01 (2.1523e-01)	L_Trg_Inj 2.9233e-01 (3.4615e-01)	Loss Disc 6.9109e-01 (6.8386e-01)	Loss Pred 7.1515e-01 (7.4965e-01)	Loss TOTAL 1.1066e+00 (1.1530e+00)
Epoch: [2][200/313]	L_Src_Sup 1.9432e-01 (2.1486e-01)	L_Trg_Inj 2.9792e-01 (3.4288e-01)	Loss Disc 6.9189e-01 (6.8430e-01)	Loss Pred 7.0736e-01 (7.4825e-01)	Loss TOTAL 1.1025e+00 (1.1518e+00)
Epoch: [2][210/313]	L_Src_Sup 3.4794e-01 (2.1427e-01)	L_Trg_Inj 2.1741e-01 (3.3934e-01)	Loss Disc 6.9801e-01 (6.8472e-01)	Loss Pred 7.1522e-01 (7.4670e-01)	Loss TOTAL 1.2513e+00 (1.1508e+00)
Epoch: [2][220/313]	L_Src_Sup 1.4532e-01 (2.1476e-01)	L_Trg_Inj 3.4103e-01 (3.3715e-01)	Loss Disc 6.9018e-01 (6.8501e-01)	Loss Pred 7.0593e-01 (7.4525e-01)	Loss TOTAL 1.0997e+00 (1.1495e+00)
Epoch: [2][230/313]	L_Src_Sup 3.2643e-01 (2.1550e-01)	L_Trg_Inj 1.9577e-01 (3.3403e-01)	Loss Disc 6.9068e-01 (6.8537e-01)	Loss Pred 7.2133e-01 (7.4370e-01)	Loss TOTAL 1.2496e+00 (1.1493e+00)
Epoch: [2][240/313]	L_Src_Sup 1.7771e-01 (2.1528e-01)	L_Trg_Inj 2.1808e-01 (3.3297e-01)	Loss Disc 6.9859e-01 (6.8564e-01)	Loss Pred 6.9092e-01 (7.4229e-01)	Loss TOTAL 1.0798e+00 (1.1478e+00)
Epoch: [2][250/313]	L_Src_Sup 2.2687e-01 (2.1728e-01)	L_Trg_Inj 2.4913e-01 (3.3192e-01)	Loss Disc 6.9121e-01 (6.8595e-01)	Loss Pred 7.1301e-01 (7.4061e-01)	Loss TOTAL 1.1062e+00 (1.1462e+00)
Epoch: [2][260/313]	L_Src_Sup 2.7474e-01 (2.3000e-01)	L_Trg_Inj 4.8637e-01 (3.3844e-01)	Loss Disc 6.8016e-01 (6.8604e-01)	Loss Pred 7.1570e-01 (7.4054e-01)	Loss TOTAL 1.1319e+00 (1.1513e+00)
Epoch: [2][270/313]	L_Src_Sup 2.5599e-01 (2.3175e-01)	L_Trg_Inj 4.5242e-01 (3.4570e-01)	Loss Disc 6.7207e-01 (6.8551e-01)	Loss Pred 7.0617e-01 (7.3997e-01)	Loss TOTAL 1.1131e+00 (1.1510e+00)
Epoch: [2][280/313]	L_Src_Sup 1.9221e-01 (2.3150e-01)	L_Trg_Inj 5.4455e-01 (3.5422e-01)	Loss Disc 6.7136e-01 (6.8506e-01)	Loss Pred 6.9961e-01 (7.3861e-01)	Loss TOTAL 1.1090e+00 (1.1499e+00)
